id,tokenType,path,value
c2bad6a3-f7c3-47e8-be59-20c497d43406,Dimension,Main System/num-0,0px
52e13fb1-92e6-476e-868f-d850936b5366,Dimension,Main System/num-1,1px
deea47d1-3bbb-4de2-a783-c10c8df6ff02,Dimension,Main System/num-2,2px
13226a61-3096-482b-95fa-da9b3639e9f3,Dimension,Main System/num-4,4px
5bf1f1fe-14cf-42b2-8168-ac3f52a24441,Dimension,Main System/num-6,6px
eb68cc2d-997b-48fa-879d-205c9ae1a17c,Dimension,Main System/num-8,8px
f47e27ff-9352-41be-b758-13292d645b4a,Dimension,Main System/num-10,10px
aaf2383f-1c8d-40f8-820f-21d8ab9d9544,Dimension,Main System/num-12,12px
86b2901f-8592-4bcc-9de0-4d0eabc3244e,Dimension,Main System/num-14,14px
fd03cece-1fea-4d7f-9f5e-8eb098a006d9,Dimension,Main System/num-16,16px
aa21c4e0-a2a1-44f6-842f-21273bf6a7e9,Dimension,Main System/num-20,20px
ff3c9173-d32b-4ff9-a1cd-f35878529d22,Dimension,Main System/num-24,24px
ed6a0f74-6162-48dd-8230-919297847f62,Dimension,Main System/num-28,28px
162e9cbe-c068-499a-9ef1-6f5a3ae8e7c7,Dimension,Main System/num-32,32px
e4590738-b513-4a5d-b806-afdbd9d5281e,Dimension,Main System/num-36,36px
5a7a65e1-4c66-4f36-9e43-fe7c9e305945,Dimension,Main System/num-40,40px
0765c099-d018-40d3-b687-0ac69849028f,Dimension,Main System/num-44,44px
64aeeb22-d513-4a25-96d7-c0ea465c1dae,Dimension,Main System/num-48,48px
a0844deb-3d28-465f-8b47-2b88a7f16c53,Dimension,Main System/num-52,52px
37c022ed-8f4d-4850-a526-f3f400a6178f,Dimension,Main System/num-56,56px
e3f3ddbc-9348-40e1-9c22-67dd653018c9,Dimension,Main System/num-60,60px
e7795590-8283-4d12-aebc-c867163c4a63,Dimension,Main System/num-64,64px
d9264fa7-2ec6-4930-b4bf-d58b40b6f6cb,Dimension,Main System/num-72,72px
579aa2ae-82c2-4dc0-9244-f5ddab194dd8,Dimension,Main System/num-96,96px
2560ddfd-5196-4735-b62c-b19610fdd7e3,Dimension,Main System/num-112,112px
fb727418-0630-4fd1-8f9b-d90508c31948,Dimension,Main System/num-120,120px
79b28680-d880-4b34-b720-f8479e682f83,Dimension,Main System/num-128,128px
6562fdc4-24d7-4e46-a3e4-b9416686ea92,Dimension,Main System/num-156,156px
f434fda2-ed5f-4b64-b8f8-6165c80583d8,Dimension,Min & Max System/960px,960px
5af182f5-7d7f-4c49-8e6f-dc87f1b7494d,Dimension,Min & Max System/880px,880px
7931e7fe-7de5-48c2-a8ea-c55466bbaeac,Dimension,Min & Max System/800px,800px
69c82428-5e42-4705-adf2-2dac86fcd5e4,Dimension,Min & Max System/720px,720px
c8579b36-acb8-4124-84b8-7dc5640046b0,Dimension,Min & Max System/640px,640px
2f044a0f-be05-41f8-b2f9-f1b3f7890172,Dimension,Min & Max System/560px,560px
5dbe94bc-67dc-45e1-aed7-17aa5294d929,Dimension,Min & Max System/480px,480px
f6fc6f41-6d2f-4299-b821-f201c1a678af,Dimension,Min & Max System/400px,400px
3bfb3369-1900-40ed-af6b-560799ae99f7,Dimension,Min & Max System/320px,320px
c454f3bc-f6ef-4a75-a73d-0e04e5341fc0,Dimension,Min & Max System/240px,240px
f866c93b-58d1-4754-898a-f31b96fc000c,Dimension,Min & Max System/160px,160px
595a50b7-df4f-4132-8dac-5b95eb9bd147,Dimension,Min & Max System/120px,120px
e8857ef9-32a9-415f-90ce-e783af7a88e4,Dimension,Min & Max System/80px,80px
378d3b30-d764-40bf-b838-f5ee9c1470d5,Dimension,Device/Desktop,1440px
a7b92bc7-9d6f-42c7-97dc-6ba3ddaaeaee,Dimension,Device/Tablet,768px
9f10e28d-18be-4da2-9adc-b3bd73945f4a,Dimension,Device/Mobile,375px
5167f38e-530c-41ab-a277-a113addaf5ab,String,font family/Google sans,google sans
2d876bc6-9961-42f8-bf4c-1a7d9b5d050a,Dimension,font-size/unit-8,8px
164dff12-70a7-4484-98cf-fbe439d45fc7,Dimension,font-size/unit-10,10px
f226c802-cf4c-4319-bb69-4239dd863520,Dimension,font-size/unit-12,12px
25e86877-4ac8-4a62-9d04-266a87df20b6,Dimension,font-size/unit-14,14px
d9bd4137-bb6d-4d9f-a529-2186618d0d43,Dimension,font-size/unit-16,16px
98e12136-3d9b-4ac7-8b12-c316151025e2,Dimension,font-size/unit-18,18px
87fd09ec-472c-42be-9433-756c7d9c6261,Dimension,font-size/unit-20,20px
dbc8608f-d806-46b1-b8be-9e7cbe097dcc,Dimension,font-size/unit-22,22px
37bcf2fa-1961-4947-aa80-520c4d18c8df,Dimension,font-size/unit-24,24px
a25dbcc7-66c3-457a-bea1-361127743c23,Dimension,font-size/unit-26,26px
125929ed-a6eb-4e6f-9779-b89efbd1601f,Dimension,font-size/unit-28,28px
78f200d6-ade4-4ff2-a6f5-f66539dabc8c,Dimension,font-size/unit-32,32px
9a9e1ce8-6ffd-4d06-a428-ee657ea901d5,Dimension,font-size/unit-36,36px
4812cebf-ece1-482b-aa85-6b4937003161,Dimension,font-size/unit-40,40px
42715765-7c8d-4168-9bb3-d4f3a3acf65b,Dimension,font-size/unit-48,48px
0c32efdc-2878-42c5-8818-26c8d82c60ad,Dimension,font-size/unit-64,64px
b468b4e1-aa2b-42b0-babc-2c1c6f013211,Dimension,font-size/unit-72,72px
4724d106-1853-459c-af8b-125bda02fac4,Dimension,font-size/unit-96,96px
a92eceb5-176c-4f43-bf65-bea104b9de1d,String,weight/Regular,Regular
b39e7d4d-21d4-4ea4-af3e-a00a78123084,String,weight/Medium,Medium
478dcdce-4095-4373-9dcf-122669c41c3e,String,weight/Semi-Bold,Semi Bold 
9fb5c5e5-4e2f-4663-abd9-a5189d5f56ea,String,weight/Bold,Bold
9f3fe979-7b13-44d5-b720-65890caea984,Dimension,letter space/tighter,-2px
e6ccf12e-4228-41dc-97ff-c0bec0d6bc6c,Dimension,letter space/light,-1px
65f356d9-da76-4f1c-a438-12640ffc71a5,Dimension,letter space/normal,0px
0951ab5d-c160-4d26-a35b-08782ba06d89,Dimension,letter space/wide,1px
f9b10693-d8f7-44f2-a43c-5a4a1eba2ec9,Dimension,letter space/wider,2px
